epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1143.05,0.86137,0.52177,1.04074,0.75467,0.78591,0.84799,0.57104,1.18125,0.8848,1.14095,9.49787e-05,9.49787e-05,9.49787e-05
135,1151.77,0.88232,0.51922,1.04151,0.82976,0.79037,0.88353,0.59275,1.18485,0.77814,1.14473,9.36026e-05,9.36026e-05,9.36026e-05
136,1160.09,0.90666,0.53704,1.05155,0.83724,0.84592,0.91917,0.6293,1.12834,0.69408,1.13667,9.22265e-05,9.22265e-05,9.22265e-05
137,1168.78,0.89721,0.5264,1.05292,0.8021,0.83484,0.89984,0.58898,1.22383,0.77091,1.15589,9.08504e-05,9.08504e-05,9.08504e-05
138,1177.61,0.86198,0.50196,1.03936,0.80424,0.82026,0.89371,0.58909,1.21188,0.77738,1.15028,8.94743e-05,8.94743e-05,8.94743e-05
139,1185.54,0.86333,0.51637,1.03772,0.76325,0.80352,0.86757,0.56568,1.24971,0.84296,1.15812,8.80982e-05,8.80982e-05,8.80982e-05
140,1194.17,0.87211,0.52113,1.0415,0.75077,0.78456,0.85099,0.58827,1.12504,0.88828,1.1451,8.67221e-05,8.67221e-05,8.67221e-05
141,1203.04,0.87112,0.52009,1.03352,0.7632,0.78107,0.84997,0.58546,1.14711,0.86783,1.14618,8.5346e-05,8.5346e-05,8.5346e-05
142,1211.16,0.88396,0.51999,1.04775,0.80796,0.83408,0.89345,0.62271,1.10196,0.73123,1.13625,8.39699e-05,8.39699e-05,8.39699e-05
143,1219.74,0.87007,0.50706,1.04002,0.82769,0.84919,0.90505,0.60572,1.19015,0.73238,1.1516,8.25938e-05,8.25938e-05,8.25938e-05
144,1228.59,0.86288,0.50612,1.0323,0.77074,0.80231,0.86287,0.58896,1.14427,0.82097,1.14435,8.12177e-05,8.12177e-05,8.12177e-05
145,1236.62,0.87175,0.50265,1.03997,0.80542,0.81149,0.87712,0.58928,1.1904,0.80759,1.1544,7.98416e-05,7.98416e-05,7.98416e-05
146,1245.35,0.86329,0.49723,1.03251,0.83093,0.8315,0.90162,0.61524,1.12804,0.73703,1.14314,7.84655e-05,7.84655e-05,7.84655e-05
147,1254.12,0.86946,0.50446,1.03789,0.78107,0.76998,0.84982,0.59105,1.12386,0.85303,1.13667,7.70894e-05,7.70894e-05,7.70894e-05
148,1262.2,0.85285,0.49747,1.02859,0.77578,0.79191,0.84828,0.58309,1.15225,0.84879,1.1442,7.57133e-05,7.57133e-05,7.57133e-05
149,1270.74,0.85544,0.49718,1.03728,0.79532,0.83065,0.88031,0.60467,1.15391,0.78857,1.15539,7.43372e-05,7.43372e-05,7.43372e-05
150,1279.4,0.86665,0.518,1.03873,0.78521,0.79035,0.86215,0.59978,1.11255,0.81681,1.13907,7.29611e-05,7.29611e-05,7.29611e-05
151,1287.77,0.85036,0.49925,1.02974,0.77604,0.82193,0.87021,0.59606,1.14028,0.80793,1.1409,7.1585e-05,7.1585e-05,7.1585e-05
152,1296.51,0.86477,0.50998,1.03612,0.79633,0.84143,0.88848,0.60925,1.14101,0.77604,1.14853,7.02089e-05,7.02089e-05,7.02089e-05
153,1305.48,0.85948,0.49559,1.03038,0.79619,0.82815,0.87669,0.59559,1.16465,0.79772,1.14647,6.88328e-05,6.88328e-05,6.88328e-05
154,1313.58,0.88227,0.50529,1.03902,0.74559,0.81392,0.84836,0.58283,1.13871,0.86302,1.1441,6.74567e-05,6.74567e-05,6.74567e-05
155,1322.26,0.85736,0.4899,1.03235,0.78424,0.78683,0.85069,0.57448,1.1779,0.86014,1.15111,6.60806e-05,6.60806e-05,6.60806e-05
156,1331.07,0.84079,0.48842,1.02861,0.78533,0.81106,0.86894,0.60106,1.12935,0.825,1.14198,6.47045e-05,6.47045e-05,6.47045e-05
157,1339.19,0.84355,0.4871,1.02713,0.79023,0.79877,0.86637,0.60304,1.11359,0.8173,1.13072,6.33284e-05,6.33284e-05,6.33284e-05
158,1348,0.86271,0.49911,1.03702,0.75172,0.80808,0.85401,0.58928,1.14584,0.84325,1.13954,6.19523e-05,6.19523e-05,6.19523e-05
159,1356.83,0.83586,0.47924,1.01871,0.78423,0.77577,0.86128,0.58747,1.16645,0.8359,1.14518,6.05762e-05,6.05762e-05,6.05762e-05
